Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Ticket Status,Date Case Closed,Victim Group,Resolution Category,Time Of Crime,Month of Crime,Year of crime,Resolution_Days,Reporting_Delay
2354,8 Apr 2020,8 Apr 2020,9:25 PM,Mumbai,260,FIREARM OFFENSE,52,F,Other,Fire Accident,17,Solved,7 May 2020,Adult,Fast,Night,Apr,2020,29.91666667,0.25
24913,4 Nov 2022,4 Nov 2022,5:45 AM,Rajkot,573,EXTORTION,17,Other,Explosives,Other Crime,15,Active,Not Closed,Minor,Not Resolved,Night,Nov,2022,Not Resolved,2.58
18015,23 Jan 2022,20 Jan 2022,7:21 PM,Mumbai,311,VEHICLE - STOLEN,23,M,Poison,Violent Crime,2,Solved,2 Apr 2022,Adult,Moderate,Afternoon,Jan,2022,71.58333333,1.75
20534,7 May 2022,5 May 2022,1:11 AM,Hyderabad,418,DRUG OFFENSE,56,Other,Firearm,Other Crime,8,Active,Not Closed,Adult,Not Resolved,Night,May,2022,Not Resolved,0.54
30312,17 Jun 2023,16 Jun 2023,4:22 PM,Thane,493,ASSAULT,33,F,Firearm,Violent Crime,18,Active,Not Closed,Adult,Not Resolved,Afternoon,Jun,2023,Not Resolved,0.33
16471,17 Nov 2021,17 Nov 2021,11:04 AM,Vasai,501,SEXUAL ASSAULT,73,Other,Explosives,Violent Crime,17,Solved,13 Jun 2022,Senior,Very Slow,Morning,Nov,2021,208.3333333,2.96
38733,4 Jun 2024,1 Jun 2024,7:49 AM,Jaipur,241,BURGLARY,39,F,Unknown Weapon,Other Crime,4,Active,Not Closed,Adult,Not Resolved,Morning,Jun,2024,Not Resolved,0.96
39680,12 Jul 2024,11 Jul 2024,4:27 PM,Srinagar,434,VEHICLE - STOLEN,11,M,Blunt Object,Violent Crime,3,Active,Not Closed,Minor,Not Resolved,Afternoon,Jul,2024,Not Resolved,0.54
29754,25 May 2023,24 May 2023,12:51 PM,Jaipur,174,EXTORTION,39,F,Knife,Other Crime,7,Solved,15 Jun 2023,Adult,Fast,Morning,May,2023,21.54166667,2.54
25601,5 Dec 2022,2 Dec 2022,1:24 AM,Kanpur,232,ARSON,11,F,Unknown Weapon,Fire Accident,14,Active,Not Closed,Minor,Not Resolved,Night,Dec,2022,Not Resolved,0.46
20894,21 May 2022,20 May 2022,5:48 AM,Delhi,586,FRAUD,46,Other,Knife,Other Crime,9,Solved,21 Jun 2022,Adult,Moderate,Night,May,2022,31.45833333,2.83
34934,29 Dec 2023,26 Dec 2023,6:19 PM,Chennai,185,ILLEGAL POSSESSION,50,M,Blunt Object,Other Crime,11,Active,Not Closed,Adult,Not Resolved,Afternoon,Dec,2023,Not Resolved,2.00
18599,15 Feb 2022,13 Feb 2022,3:11 PM,Pune,479,EXTORTION,55,F,Poison,Other Crime,7,Solved,22 Apr 2022,Adult,Moderate,Morning,Feb,2022,68,2.17
165,10 Jan 2020,7 Jan 2020,6:07 AM,Ghaziabad,312,SEXUAL ASSAULT,11,F,Firearm,Violent Crime,9,Solved,23 Dec 2020,Minor,Very Slow,Morning,Jan,2020,350.1666667,1.21
18371,5 Feb 2022,4 Feb 2022,6:27 PM,Delhi,571,IDENTITY THEFT,41,F,Firearm,Violent Crime,10,Solved,17 Mar 2022,Adult,Moderate,Afternoon,Feb,2022,41.20833333,2.54
1543,7 Mar 2020,5 Mar 2020,5:49 PM,Delhi,215,KIDNAPPING,21,M,Firearm,Other Crime,14,Solved,15 Apr 2020,Adult,Moderate,Afternoon,Mar,2020,41.54166667,1.00
17129,15 Dec 2021,14 Dec 2021,1:07 PM,Faridabad,358,FRAUD,33,Other,Blunt Object,Other Crime,16,Solved,18 Jan 2022,Adult,Moderate,Morning,Dec,2021,35,0.96
12648,11 Jun 2021,10 Jun 2021,10:03 AM,Indore,103,BURGLARY,36,F,Firearm,Other Crime,8,Active,Not Closed,Adult,Not Resolved,Morning,Jun,2021,Not Resolved,1.92
2096,30 Mar 2020,28 Mar 2020,4:09 AM,Patna,336,ILLEGAL POSSESSION,39,F,Knife,Other Crime,19,Solved,4 May 2020,Adult,Moderate,Night,Mar,2020,36.91666667,2.96
6923,18 Oct 2020,15 Oct 2020,5:56 AM,Hyderabad,239,DOMESTIC VIOLENCE,72,M,Blunt Object,Violent Crime,18,Active,Not Closed,Senior,Not Resolved,Night,Oct,2020,Not Resolved,1.25
15606,13 Oct 2021,12 Oct 2021,7:33 AM,Bangalore,368,FRAUD,36,M,Unknown Weapon,Other Crime,16,Active,Not Closed,Adult,Not Resolved,Morning,Oct,2021,Not Resolved,1.88
23242,28 Aug 2022,26 Aug 2022,5:39 PM,Kolkata,394,CYBERCRIME,15,Other,Unknown Weapon,Other Crime,18,Solved,24 Nov 2022,Minor,Moderate,Afternoon,Aug,2022,89.875,2.63
9022,13 Jan 2021,10 Jan 2021,11:01 AM,Pune,105,ASSAULT,59,F,Other,Violent Crime,6,Active,Not Closed,Adult,Not Resolved,Morning,Jan,2021,Not Resolved,2.08
10639,21 Mar 2021,19 Mar 2021,6:41 PM,Delhi,240,HOMICIDE,39,F,Knife,Other Crime,18,Active,Not Closed,Adult,Not Resolved,Afternoon,Mar,2021,Not Resolved,1.58
26060,23 Dec 2022,21 Dec 2022,3:55 AM,Mumbai,355,CYBERCRIME,42,F,Explosives,Other Crime,9,Solved,18 Mar 2023,Adult,Moderate,Night,Dec,2022,86.58333333,1.38
26646,16 Jan 2023,15 Jan 2023,12:05 AM,Surat,450,PUBLIC INTOXICATION,17,Other,Blunt Object,Other Crime,1,Active,Not Closed,Minor,Not Resolved,Night,Jan,2023,Not Resolved,1.88
27588,25 Feb 2023,23 Feb 2023,9:43 AM,Faridabad,478,KIDNAPPING,45,M,Other,Other Crime,4,Active,Not Closed,Adult,Not Resolved,Morning,Feb,2023,Not Resolved,2.46
9797,14 Feb 2021,12 Feb 2021,6:22 PM,Bangalore,353,VEHICLE - STOLEN,22,F,Firearm,Violent Crime,16,Active,Not Closed,Adult,Not Resolved,Afternoon,Feb,2021,Not Resolved,2.13
10688,23 Mar 2021,21 Mar 2021,10:01 AM,Hyderabad,327,FIREARM OFFENSE,72,F,Explosives,Fire Accident,4,Active,Not Closed,Senior,Not Resolved,Morning,Mar,2021,Not Resolved,0.63
22958,15 Aug 2022,14 Aug 2022,12:39 PM,Nagpur,405,IDENTITY THEFT,60,Other,Knife,Violent Crime,13,Active,Not Closed,Senior,Not Resolved,Morning,Aug,2022,Not Resolved,2.79
541,26 Jan 2020,23 Jan 2020,10:23 PM,Mumbai,398,COUNTERFEITING,29,M,Firearm,Other Crime,14,Solved,19 Feb 2020,Adult,Fast,Night,Jan,2020,26.79166667,2.58
14666,5 Sep 2021,3 Sep 2021,9:38 PM,Chennai,534,ASSAULT,24,F,Knife,Violent Crime,11,Solved,8 Oct 2021,Adult,Moderate,Night,Sep,2021,35.58333333,0.17
28399,29 Mar 2023,29 Mar 2023,6:59 AM,Chennai,145,FRAUD,25,M,Unknown Weapon,Other Crime,4,Solved,31 May 2023,Adult,Moderate,Morning,Mar,2023,63.16666667,1.33
39036,15 Jun 2024,14 Jun 2024,3:05 AM,Mumbai,517,ARSON,72,M,Other,Fire Accident,11,Active,Not Closed,Senior,Not Resolved,Night,Jun,2024,Not Resolved,2.75
3738,7 Jun 2020,4 Jun 2020,8:24 PM,Chennai,463,BURGLARY,17,F,Blunt Object,Other Crime,5,Solved,26 Sep 2020,Minor,Slow,Night,Jun,2020,113.75,2.63
15505,10 Oct 2021,8 Oct 2021,4:23 AM,Ahmedabad,343,VEHICLE - STOLEN,23,M,Explosives,Violent Crime,3,Active,Not Closed,Adult,Not Resolved,Night,Oct,2021,Not Resolved,2.17
22011,8 Jul 2022,6 Jul 2022,1:47 PM,Bangalore,286,EXTORTION,18,M,Poison,Other Crime,3,Solved,3 Aug 2022,Adult,Fast,Morning,Jul,2022,28.16666667,0.79
29781,26 May 2023,25 May 2023,9:05 AM,Ludhiana,177,FIREARM OFFENSE,72,F,Blunt Object,Fire Accident,8,Active,Not Closed,Senior,Not Resolved,Morning,May,2023,Not Resolved,0.63
12935,23 Jun 2021,22 Jun 2021,3:33 PM,Mumbai,339,VANDALISM,28,F,Poison,Other Crime,2,Active,Not Closed,Adult,Not Resolved,Morning,Jun,2021,Not Resolved,1.67
38838,7 Jun 2024,6 Jun 2024,6:18 AM,Mumbai,351,DOMESTIC VIOLENCE,13,F,Explosives,Violent Crime,9,Active,Not Closed,Minor,Not Resolved,Morning,Jun,2024,Not Resolved,0.58
19766,4 Apr 2022,3 Apr 2022,1:21 PM,Chennai,344,FIREARM OFFENSE,39,M,Unknown Weapon,Fire Accident,4,Solved,25 May 2022,Adult,Moderate,Morning,Apr,2022,51.58333333,1.83
1120,18 Feb 2020,16 Feb 2020,4:59 AM,Delhi,257,ILLEGAL POSSESSION,23,F,Poison,Other Crime,18,Solved,8 Apr 2020,Adult,Moderate,Night,Feb,2020,51.83333333,2.38
37010,24 Mar 2024,22 Mar 2024,6:50 PM,Ghaziabad,327,ROBBERY,59,M,Poison,Violent Crime,7,Active,Not Closed,Adult,Not Resolved,Afternoon,Mar,2024,Not Resolved,1.63
9325,25 Jan 2021,23 Jan 2021,7:45 PM,Bangalore,161,SHOPLIFTING,63,F,Blunt Object,Other Crime,13,Solved,19 Mar 2021,Senior,Moderate,Afternoon,Jan,2021,54.625,0.67
10122,26 Feb 2021,25 Feb 2021,6:56 AM,Bangalore,581,FIREARM OFFENSE,74,F,Other,Fire Accident,2,Active,Not Closed,Senior,Not Resolved,Morning,Feb,2021,Not Resolved,1.50
3684,3 Jun 2020,2 Jun 2020,10:40 AM,Chennai,399,BURGLARY,69,F,Poison,Other Crime,19,Solved,27 Sep 2020,Senior,Slow,Morning,Jun,2020,117.5,0.83
5647,24 Aug 2020,23 Aug 2020,4:51 PM,Surat,158,PUBLIC INTOXICATION,16,F,Other,Other Crime,11,Active,Not Closed,Minor,Not Resolved,Afternoon,Aug,2020,Not Resolved,0.21
1607,8 Mar 2020,7 Mar 2020,7:53 PM,Mumbai,264,PUBLIC INTOXICATION,22,F,Blunt Object,Other Crime,2,Solved,5 Apr 2020,Adult,Fast,Afternoon,Mar,2020,28.20833333,2.75
8875,7 Jan 2021,4 Jan 2021,3:02 AM,Bangalore,301,IDENTITY THEFT,48,F,Poison,Violent Crime,18,Active,Not Closed,Adult,Not Resolved,Night,Jan,2021,Not Resolved,0.83
40069,28 Jul 2024,27 Jul 2024,1:10 AM,Kanpur,516,VANDALISM,65,M,Knife,Other Crime,4,Active,Not Closed,Senior,Not Resolved,Night,Jul,2024,Not Resolved,0.54
29359,8 May 2023,8 May 2023,5:27 PM,Hyderabad,329,ARSON,54,F,Explosives,Fire Accident,19,Active,Not Closed,Adult,Not Resolved,Afternoon,May,2023,Not Resolved,0.92
16486,18 Nov 2021,17 Nov 2021,6:14 AM,Indore,409,DOMESTIC VIOLENCE,49,Other,Explosives,Violent Crime,18,Active,Not Closed,Adult,Not Resolved,Morning,Nov,2021,Not Resolved,1.04
24176,5 Oct 2022,4 Oct 2022,3:58 AM,Delhi,279,ROBBERY,70,Other,Unknown Weapon,Violent Crime,11,Solved,10 Mar 2023,Senior,Slow,Night,Oct,2022,157.0416667,0.33
38412,19 May 2024,19 May 2024,11:13 PM,Surat,320,HOMICIDE,22,F,Firearm,Other Crime,3,Active,Not Closed,Adult,Not Resolved,Night,May,2024,Not Resolved,1.63
5188,5 Aug 2020,4 Aug 2020,5:15 PM,Mumbai,156,BURGLARY,13,F,Unknown Weapon,Other Crime,9,Active,Not Closed,Minor,Not Resolved,Afternoon,Aug,2020,Not Resolved,0.50
16221,7 Nov 2021,6 Nov 2021,8:17 AM,Bangalore,332,ARSON,14,F,Firearm,Fire Accident,6,Active,Not Closed,Minor,Not Resolved,Morning,Nov,2021,Not Resolved,1.79
19995,14 Apr 2022,13 Apr 2022,9:26 PM,Kanpur,194,VEHICLE - STOLEN,75,Other,Blunt Object,Violent Crime,10,Active,Not Closed,Senior,Not Resolved,Night,Apr,2022,Not Resolved,2.21
38744,4 Jun 2024,2 Jun 2024,11:13 AM,Rajkot,426,SEXUAL ASSAULT,12,F,Firearm,Violent Crime,2,Active,Not Closed,Minor,Not Resolved,Morning,Jun,2024,Not Resolved,0.46
29745,24 May 2023,24 May 2023,8:46 AM,Pune,389,EXTORTION,14,M,Poison,Other Crime,8,Solved,2 Aug 2023,Minor,Moderate,Morning,May,2023,70.45833333,0.42
33127,12 Oct 2023,12 Oct 2023,1:34 AM,Meerut,518,HOMICIDE,60,M,Poison,Other Crime,11,Active,Not Closed,Senior,Not Resolved,Night,Oct,2023,Not Resolved,2.54
21689,25 Jun 2022,22 Jun 2022,5:31 AM,Visakhapatnam,561,EXTORTION,26,M,Unknown Weapon,Other Crime,2,Active,Not Closed,Adult,Not Resolved,Night,Jun,2022,Not Resolved,1.96
15911,26 Oct 2021,24 Oct 2021,1:33 PM,Chennai,403,SEXUAL ASSAULT,64,M,Unknown Weapon,Violent Crime,19,Solved,21 Oct 2022,Senior,Very Slow,Morning,Oct,2021,361.9583333,1.88
16136,5 Nov 2021,3 Nov 2021,8:44 AM,Jaipur,435,TRAFFIC VIOLATION,67,F,Explosives,Traffic Fatality,16,Solved,18 Nov 2021,Senior,Fast,Morning,Nov,2021,14.875,2.46
20844,20 May 2022,18 May 2022,12:00 AM,Hyderabad,520,BURGLARY,11,M,Other,Other Crime,9,Active,Not Closed,Minor,Not Resolved,Night,May,2022,Not Resolved,0.21
9130,15 Jan 2021,15 Jan 2021,11:33 AM,Faridabad,307,DOMESTIC VIOLENCE,46,F,Other,Violent Crime,11,Active,Not Closed,Adult,Not Resolved,Morning,Jan,2021,Not Resolved,1.92
23700,16 Sep 2022,14 Sep 2022,12:37 PM,Surat,375,DRUG OFFENSE,40,F,Knife,Other Crime,2,Active,Not Closed,Adult,Not Resolved,Morning,Sep,2022,Not Resolved,1.58
8049,2 Dec 2020,1 Dec 2020,12:16 PM,Hyderabad,473,KIDNAPPING,11,M,Firearm,Other Crime,4,Solved,14 Jan 2021,Minor,Moderate,Morning,Dec,2020,44.58333333,1.79
26983,31 Jan 2023,29 Jan 2023,6:21 AM,Pune,262,PUBLIC INTOXICATION,50,F,Blunt Object,Other Crime,2,Solved,15 Feb 2023,Adult,Fast,Morning,Jan,2023,16.79166667,0.29
24134,2 Oct 2022,2 Oct 2022,7:51 PM,Kolkata,476,FIREARM OFFENSE,54,M,Poison,Fire Accident,4,Active,Not Closed,Adult,Not Resolved,Afternoon,Oct,2022,Not Resolved,1.50
38616,29 May 2024,27 May 2024,8:28 PM,Chennai,439,VANDALISM,53,M,Explosives,Other Crime,16,Solved,12 Jun 2024,Adult,Fast,Night,May,2024,15.5,0.33
24032,28 Sep 2022,28 Sep 2022,1:11 PM,Nagpur,173,IDENTITY THEFT,50,Other,Firearm,Violent Crime,8,Solved,27 Nov 2022,Adult,Moderate,Morning,Sep,2022,60.33333333,0.63
31532,7 Aug 2023,6 Aug 2023,5:17 PM,Hyderabad,188,KIDNAPPING,20,F,Explosives,Other Crime,10,Active,Not Closed,Adult,Not Resolved,Afternoon,Aug,2023,Not Resolved,2.83
6685,8 Oct 2020,5 Oct 2020,5:55 AM,Mumbai,214,ARSON,58,F,Other,Fire Accident,4,Active,Not Closed,Adult,Not Resolved,Night,Oct,2020,Not Resolved,0.96
8601,25 Dec 2020,24 Dec 2020,11:40 AM,Bangalore,554,COUNTERFEITING,40,M,Explosives,Other Crime,19,Active,Not Closed,Adult,Not Resolved,Morning,Dec,2020,Not Resolved,0.25
27272,10 Feb 2023,10 Feb 2023,11:00 AM,Indore,578,SHOPLIFTING,34,M,Poison,Other Crime,2,Active,Not Closed,Adult,Not Resolved,Morning,Feb,2023,Not Resolved,1.63
20877,21 May 2022,19 May 2022,9:06 AM,Bangalore,281,IDENTITY THEFT,42,M,Firearm,Violent Crime,8,Active,Not Closed,Adult,Not Resolved,Morning,May,2022,Not Resolved,1.29
39050,16 Jun 2024,15 Jun 2024,4:38 AM,Hyderabad,375,FRAUD,22,M,Unknown Weapon,Other Crime,2,Active,Not Closed,Adult,Not Resolved,Night,Jun,2024,Not Resolved,0.17
16096,1 Nov 2021,1 Nov 2021,2:18 PM,Srinagar,493,VEHICLE - STOLEN,57,F,Other,Violent Crime,17,Active,Not Closed,Adult,Not Resolved,Morning,Nov,2021,Not Resolved,1.33
10474,13 Mar 2021,12 Mar 2021,2:04 PM,Kolkata,501,KIDNAPPING,75,M,Poison,Other Crime,1,Active,Not Closed,Senior,Not Resolved,Morning,Mar,2021,Not Resolved,2.63
15125,24 Sep 2021,22 Sep 2021,8:51 PM,Kanpur,184,EXTORTION,76,F,Poison,Other Crime,17,Solved,27 Nov 2021,Senior,Moderate,Night,Sep,2021,66.625,2.42
32279,9 Sep 2023,6 Sep 2023,12:26 AM,Bangalore,551,BURGLARY,47,M,Unknown Weapon,Other Crime,6,Active,Not Closed,Adult,Not Resolved,Night,Sep,2023,Not Resolved,1.42
39439,2 Jul 2024,1 Jul 2024,9:04 PM,Delhi,488,IDENTITY THEFT,12,M,Other,Violent Crime,7,Solved,21 Jul 2024,Minor,Fast,Night,Jul,2024,20.41666667,2.21
39284,27 Jun 2024,24 Jun 2024,3:52 AM,Delhi,506,SHOPLIFTING,53,M,Poison,Other Crime,12,Active,Not Closed,Adult,Not Resolved,Night,Jun,2024,Not Resolved,0.13
37690,19 Apr 2024,19 Apr 2024,2:53 AM,Nagpur,121,ASSAULT,50,F,Other,Violent Crime,5,Active,Not Closed,Adult,Not Resolved,Night,Apr,2024,Not Resolved,1.33
28523,4 Apr 2023,3 Apr 2023,5:31 PM,Ludhiana,318,ILLEGAL POSSESSION,62,M,Explosives,Other Crime,13,Solved,18 May 2023,Senior,Moderate,Afternoon,Apr,2023,45.33333333,2.92
37989,4 May 2024,1 May 2024,12:10 AM,Ahmedabad,264,TRAFFIC VIOLATION,20,F,Other,Traffic Fatality,14,Solved,24 May 2024,Adult,Fast,Night,May,2024,22.91666667,2.17
19881,10 Apr 2022,8 Apr 2022,3:23 PM,Kolkata,301,SEXUAL ASSAULT,13,M,Knife,Violent Crime,3,Active,Not Closed,Minor,Not Resolved,Morning,Apr,2022,Not Resolved,1.50
9247,21 Jan 2021,20 Jan 2021,5:48 AM,Mumbai,492,FRAUD,60,F,Knife,Other Crime,13,Active,Not Closed,Senior,Not Resolved,Night,Jan,2021,Not Resolved,0.96
28342,27 Mar 2023,26 Mar 2023,2:43 PM,Mumbai,424,ARSON,39,F,Poison,Fire Accident,7,Solved,23 May 2023,Adult,Moderate,Morning,Mar,2023,57.95833333,2.54
26356,5 Jan 2023,3 Jan 2023,2:33 AM,Bangalore,515,COUNTERFEITING,42,Other,Explosives,Other Crime,14,Active,Not Closed,Adult,Not Resolved,Night,Jan,2023,Not Resolved,1.88
6843,13 Oct 2020,12 Oct 2020,4:27 AM,Delhi,569,ROBBERY,59,F,Poison,Violent Crime,7,Active,Not Closed,Adult,Not Resolved,Night,Oct,2020,Not Resolved,0.63
25459,27 Nov 2022,26 Nov 2022,8:07 PM,Kanpur,482,FIREARM OFFENSE,15,F,Knife,Fire Accident,10,Solved,25 Dec 2022,Minor,Fast,Night,Nov,2022,28.625,2.96
26353,5 Jan 2023,3 Jan 2023,9:03 AM,Surat,597,DOMESTIC VIOLENCE,64,F,Poison,Violent Crime,10,Active,Not Closed,Senior,Not Resolved,Morning,Jan,2023,Not Resolved,2.08
22294,19 Jul 2022,17 Jul 2022,11:58 AM,Ahmedabad,168,SEXUAL ASSAULT,22,F,Poison,Violent Crime,17,Active,Not Closed,Adult,Not Resolved,Morning,Jul,2022,Not Resolved,0.58
30619,30 Jun 2023,29 Jun 2023,9:41 AM,Ahmedabad,308,ILLEGAL POSSESSION,59,F,Knife,Other Crime,8,Solved,16 Sep 2023,Adult,Moderate,Morning,Jun,2023,78.58333333,2.75
15838,24 Oct 2021,21 Oct 2021,3:32 AM,Agra,124,SEXUAL ASSAULT,42,F,Other,Violent Crime,8,Solved,3 Oct 2022,Adult,Very Slow,Night,Oct,2021,346.75,0.38
32015,27 Aug 2023,26 Aug 2023,4:26 PM,Hyderabad,289,TRAFFIC VIOLATION,39,F,Firearm,Traffic Fatality,7,Solved,5 Sep 2023,Adult,Fast,Afternoon,Aug,2023,9.375,1.33
4232,26 Jun 2020,25 Jun 2020,3:21 AM,Vasai,273,FIREARM OFFENSE,71,M,Knife,Fire Accident,19,Active,Not Closed,Senior,Not Resolved,Night,Jun,2020,Not Resolved,1.63
13191,5 Jul 2021,3 Jul 2021,5:16 AM,Bangalore,359,HOMICIDE,14,M,Other,Other Crime,4,Solved,16 Apr 2023,Minor,Very Slow,Night,Jul,2021,651.625,1.00
10989,3 Apr 2021,2 Apr 2021,6:04 AM,Kolkata,221,DOMESTIC VIOLENCE,18,F,Knife,Violent Crime,5,Active,Not Closed,Adult,Not Resolved,Morning,Apr,2021,Not Resolved,2.75
4670,16 Jul 2020,13 Jul 2020,9:45 PM,Chennai,191,FRAUD,31,M,Other,Other Crime,14,Solved,15 Aug 2020,Adult,Fast,Night,Jul,2020,32.75,2.13
8229,10 Dec 2020,8 Dec 2020,6:16 PM,Chennai,189,ASSAULT,13,F,Knife,Violent Crime,3,Active,Not Closed,Minor,Not Resolved,Afternoon,Dec,2020,Not Resolved,2.83
